"YEAR","month","rate"
1985,"JAN",3.5
1985,"FEB",3.5
1985,"MAR",3.7
1985,"APR",3.7
1985,"MAY",3.8
1985,"JUN",3.8
1985,"JUL",3.6
1985,"AUG",3.3
1985,"SEP",3.1
1985,"OCT",3.2
1985,"NOV",3.5
1985,"DEC",3.8
1986,"JAN",3.9
1986,"FEB",3.1
1986,"MAR",2.3
1986,"APR",1.6
1986,"MAY",1.5
1986,"JUN",1.8
1986,"JUL",1.6
1986,"AUG",1.6
1986,"SEP",1.8
1986,"OCT",1.5
1986,"NOV",1.3
1986,"DEC",1.1
1987,"JAN",1.5
1987,"FEB",2.1
1987,"MAR",3
1987,"APR",3.8
1987,"MAY",3.9
1987,"JUN",3.7
1987,"JUL",3.9
1987,"AUG",4.3
1987,"SEP",4.4
1987,"OCT",4.5
1987,"NOV",4.5
1987,"DEC",4.4
1988,"JAN",4
1988,"FEB",3.9
1988,"MAR",3.9
1988,"APR",3.9
1988,"MAY",3.9
1988,"JUN",4
1988,"JUL",4.1
1988,"AUG",4
1988,"SEP",4.2
1988,"OCT",4.2
1988,"NOV",4.2
1988,"DEC",4.4
1989,"JAN",4.7
1989,"FEB",4.8
1989,"MAR",5
1989,"APR",5.1
1989,"MAY",5.4
1989,"JUN",5.2
1989,"JUL",5
1989,"AUG",4.7
1989,"SEP",4.3
1989,"OCT",4.5
1989,"NOV",4.7
1989,"DEC",4.6
1990,"JAN",5.2
1990,"FEB",5.3
1990,"MAR",5.2
1990,"APR",4.7
1990,"MAY",4.4
1990,"JUN",4.7
1990,"JUL",4.8
1990,"AUG",5.6
1990,"SEP",6.2
1990,"OCT",6.3
1990,"NOV",6.3
1990,"DEC",6.1
1991,"JAN",5.7
1991,"FEB",5.3
1991,"MAR",4.9
1991,"APR",4.9
1991,"MAY",5
1991,"JUN",4.7
1991,"JUL",4.4
1991,"AUG",3.8
1991,"SEP",3.4
1991,"OCT",2.9
1991,"NOV",3
1991,"DEC",3.1
1992,"JAN",2.6
1992,"FEB",2.8
1992,"MAR",3.2
1992,"APR",3.2
1992,"MAY",3
1992,"JUN",3.1
1992,"JUL",3.2
1992,"AUG",3.1
1992,"SEP",3
1992,"OCT",3.2
1992,"NOV",3
1992,"DEC",2.9
1993,"JAN",3.3
1993,"FEB",3.2
1993,"MAR",3.1
1993,"APR",3.2
1993,"MAY",3.2
1993,"JUN",3
1993,"JUL",2.8
1993,"AUG",2.8
1993,"SEP",2.7
1993,"OCT",2.8
1993,"NOV",2.7
1993,"DEC",2.7
1994,"JAN",2.5
1994,"FEB",2.5
1994,"MAR",2.5
1994,"APR",2.4
1994,"MAY",2.3
1994,"JUN",2.5
1994,"JUL",2.8
1994,"AUG",2.9
1994,"SEP",3
1994,"OCT",2.6
1994,"NOV",2.7
1994,"DEC",2.7
1995,"JAN",2.8
1995,"FEB",2.9
1995,"MAR",2.9
1995,"APR",3.1
1995,"MAY",3.2
1995,"JUN",3
1995,"JUL",2.8
1995,"AUG",2.6
1995,"SEP",2.5
1995,"OCT",2.8
1995,"NOV",2.6
1995,"DEC",2.5
1996,"JAN",2.7
1996,"FEB",2.7
1996,"MAR",2.8
1996,"APR",2.9
1996,"MAY",2.9
1996,"JUN",2.8
1996,"JUL",3
1996,"AUG",2.9
1996,"SEP",3
1996,"OCT",3
1996,"NOV",3.3
1996,"DEC",3.3
1997,"JAN",3
1997,"FEB",3
1997,"MAR",2.8
1997,"APR",2.5
1997,"MAY",2.2
1997,"JUN",2.3
1997,"JUL",2.2
1997,"AUG",2.2
1997,"SEP",2.2
1997,"OCT",2.1
1997,"NOV",1.8
1997,"DEC",1.7
1998,"JAN",1.6
1998,"FEB",1.4
1998,"MAR",1.4
1998,"APR",1.4
1998,"MAY",1.7
1998,"JUN",1.7
1998,"JUL",1.7
1998,"AUG",1.6
1998,"SEP",1.5
1998,"OCT",1.5
1998,"NOV",1.5
1998,"DEC",1.6
1999,"JAN",1.7
1999,"FEB",1.6
1999,"MAR",1.7
1999,"APR",2.3
1999,"MAY",2.1
1999,"JUN",2
1999,"JUL",2.1
1999,"AUG",2.3
1999,"SEP",2.6
1999,"OCT",2.6
1999,"NOV",2.6
1999,"DEC",2.7
2000,"JAN",2.7
2000,"FEB",3.2
2000,"MAR",3.8
2000,"APR",3.1
2000,"MAY",3.2
2000,"JUN",3.7
2000,"JUL",3.7
2000,"AUG",3.4
2000,"SEP",3.5
2000,"OCT",3.4
2000,"NOV",3.4
2000,"DEC",3.4
2001,"JAN",3.7
2001,"FEB",3.5
2001,"MAR",2.9
2001,"APR",3.3
2001,"MAY",3.6
2001,"JUN",3.2
2001,"JUL",2.7
2001,"AUG",2.7
2001,"SEP",2.6
2001,"OCT",2.1
2001,"NOV",1.9
2001,"DEC",1.6
2002,"JAN",1.1
2002,"FEB",1.1
2002,"MAR",1.5
2002,"APR",1.6
2002,"MAY",1.2
2002,"JUN",1.1
2002,"JUL",1.5
2002,"AUG",1.8
2002,"SEP",1.5
2002,"OCT",2
2002,"NOV",2.2
2002,"DEC",2.4
2003,"JAN",2.6
2003,"FEB",3
2003,"MAR",3
2003,"APR",2.2
2003,"MAY",2.1
2003,"JUN",2.1
2003,"JUL",2.1
2003,"AUG",2.2
2003,"SEP",2.3
2003,"OCT",2
2003,"NOV",1.8
2003,"DEC",1.9
2004,"JAN",1.9
2004,"FEB",1.7
2004,"MAR",1.7
2004,"APR",2.3
2004,"MAY",3.1
2004,"JUN",3.3
2004,"JUL",3
2004,"AUG",2.7
2004,"SEP",2.5
2004,"OCT",3.2
2004,"NOV",3.5
2004,"DEC",3.3
2005,"JAN",3
2005,"FEB",3
2005,"MAR",3.1
2005,"APR",3.5
2005,"MAY",2.8
2005,"JUN",2.5
2005,"JUL",3.2
2005,"AUG",3.6
2005,"SEP",4.7
2005,"OCT",4.3
2005,"NOV",3.5
2005,"DEC",3.4
2006,"JAN",4
2006,"FEB",3.6
2006,"MAR",3.4
2006,"APR",3.5
2006,"MAY",4.2
2006,"JUN",4.3
2006,"JUL",4.1
2006,"AUG",3.8
2006,"SEP",2.1
2006,"OCT",1.3
2006,"NOV",2
2006,"DEC",2.5
2007,"JAN",2.1
2007,"FEB",2.4
2007,"MAR",2.8
2007,"APR",2.6
2007,"MAY",2.7
2007,"JUN",2.7
2007,"JUL",2.4
2007,"AUG",2
2007,"SEP",2.8
2007,"OCT",3.5
2007,"NOV",4.3
2007,"DEC",4.1
2008,"JAN",4.3
2008,"FEB",4
2008,"MAR",4
2008,"APR",3.9
2008,"MAY",4.2
2008,"JUN",5
2008,"JUL",5.6
2008,"AUG",5.4
2008,"SEP",4.9
2008,"OCT",3.7
2008,"NOV",1.1
2008,"DEC",0.1
2009,"JAN",0
2009,"FEB",0.2
2009,"MAR",-0.4
2009,"APR",-0.7
2009,"MAY",-1.3
2009,"JUN",-1.4
2009,"JUL",-2.1
2009,"AUG",-1.5
2009,"SEP",-1.3
2009,"OCT",-0.2
2009,"NOV",1.8
2009,"DEC",2.7
2010,"JAN",2.6
2010,"FEB",2.1
2010,"MAR",2.3
2010,"APR",2.2
2010,"MAY",2
2010,"JUN",1.1
2010,"JUL",1.2
2010,"AUG",1.1
2010,"SEP",1.1
2010,"OCT",1.2
2010,"NOV",1.1
2010,"DEC",1.5
2011,"JAN",1.6
2011,"FEB",2.1
2011,"MAR",2.7
2011,"APR",3.2
2011,"MAY",3.6
2011,"JUN",3.6
2011,"JUL",3.6
2011,"AUG",3.8
2011,"SEP",3.9
2011,"OCT",3.5
2011,"NOV",3.4
2011,"DEC",3
2012,"JAN",2.9
2012,"FEB",2.9
2012,"MAR",2.7
2012,"APR",2.3
2012,"MAY",1.7
2012,"JUN",1.7
2012,"JUL",1.4
2012,"AUG",1.7
2012,"SEP",2
2012,"OCT",2.2
2012,"NOV",1.8
2012,"DEC",1.7
2013,"JAN",1.6
2013,"FEB",2
2013,"MAR",1.5
2013,"APR",1.1
2013,"MAY",1.4
2013,"JUN",1.8
2013,"JUL",2
2013,"AUG",1.5
2013,"SEP",1.2
2013,"OCT",1
2013,"NOV",1.2
2013,"DEC",1.5
2014,"JAN",1.6
2014,"FEB",1.1
2014,"MAR",1.5
2014,"APR",2
2014,"MAY",2.1
2014,"JUN",2.1
2014,"JUL",2
2014,"AUG",1.7
2014,"SEP",1.7
2014,"OCT",1.7
2014,"NOV",1.3
2014,"DEC",0.8
2015,"JAN",-0.1
2015,"FEB",0
2015,"MAR",-0.1
2015,"APR",-0.2
2015,"MAY",0
2015,"JUN",0.1
2015,"JUL",0.2
2015,"AUG",0.2
2015,"SEP",0
2015,"OCT",0.2
2015,"NOV",0.5
2015,"DEC",0.7
2016,"JAN",1.4
2016,"FEB",1
2016,"MAR",0.9
2016,"APR",1.1
2016,"MAY",1
2016,"JUN",1
2016,"JUL",0.8
2016,"AUG",1.1
2016,"SEP",1.5
2016,"OCT",1.6
2016,"NOV",1.7
2016,"DEC",2.1
2017,"JAN",2.5
2017,"FEB",2.7
2017,"MAR",2.4
2017,"APR",2.2
2017,"MAY",1.9
2017,"JUN",1.6
2017,"JUL",1.7
2017,"AUG",1.9
2017,"SEP",2.2
2017,"OCT",2
2017,"NOV",2.2
2017,"DEC",2.1
2018,"JAN",2.1
2018,"FEB",2.2
2018,"MAR",2.4
2018,"APR",2.5
2018,"MAY",2.8
2018,"JUN",2.9
2018,"JUL",2.9
2018,"AUG",2.7
2018,"SEP",2.3
2018,"OCT",2.5
2018,"NOV",2.2
2018,"DEC",1.9
2019,"JAN",1.6
2019,"FEB",1.5
2019,"MAR",1.9
2019,"APR",2
2019,"MAY",1.8
2019,"JUN",1.6
2019,"JUL",1.8
2019,"AUG",1.7
2019,"SEP",1.7
2019,"OCT",1.8
2019,"NOV",2.1
2019,"DEC",2.3
2020,"JAN",2.5
2020,"FEB",2.3
2020,"MAR",1.5
2020,"APR",0.3
2020,"MAY",0.1
2020,"JUN",0.6
2020,"JUL",1
2020,"AUG",1.3
2020,"SEP",1.4
2020,"OCT",1.2
2020,"NOV",1.2
2020,"DEC",1.4
2021,"JAN",1.4
2021,"FEB",1.7
2021,"MAR",2.6
2021,"APR",4.2
2021,"MAY",5
2021,"JUN",5.4
2021,"JUL",5.4
2021,"AUG",5.3
2021,"SEP",5.4
2021,"OCT",6.2
2021,"NOV",6.8
2021,"DEC",7
2022,"JAN",7.5
2022,"FEB",7.9
2022,"MAR",8.5
2022,"APR",8.3
2022,"MAY",8.6
2022,"JUN",9.1
2022,"JUL",8.5
2022,"AUG",8.3
2022,"SEP",8.2
2022,"OCT",7.7
